Country,Region,1949,1954,1959,1964,1969,1974,1979,1984,1989,1994,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,latitude,longitude
"Africa, Sub-saharan, Unspecified","AFRICA, SUB-SAHARAN",19,-,-,9,17,30,-,-,-,18,9,8,0,1,1,0,0,3,0,28,0,0,0,0,0,0,0,0,0,0,,
Burundi,East Africa,-,-,-,6,6,5,12,32,54,68,40,55,75,66,80,82,78,85,87,85,113,123,103,124,122,165,148,180,134,141,-3.3730559999999996,29.918885999999997
Djibouti,East Africa,-,-,-,-,-,1,2,16,19,18,7,8,8,5,2,5,15,14,5,13,3,11,8,13,7,7,9,10,9,9,11.825138,42.590275
Eritrea,East Africa,-,-,-,-,-,-,-,-,-,17,105,134,161,141,127,194,199,184,163,168,164,120,110,106,97,108,109,138,151,117,15.179383999999999,39.782334000000006
Ethiopia,East Africa,37,62,170,266,540,2050,1340,2120,2020,1325,1286,1205,1133,1119,1060,1129,1266,1328,1316,1583,1553,1392,1334,1463,1516,1472,1517,1847,2118,2061,9.145,40.489672999999996
Kenya,East Africa,-,19,156,774,492,870,1850,1890,2200,2603,5684,6229,7097,7862,7381,6728,6559,6349,5838,5877,5384,4666,3898,3516,3201,3072,3019,3189,3322,3451,-0.023559,37.906193
Rwanda,East Africa,-,-,-,2,1,4,6,26,89,72,131,261,263,149,275,191,215,210,270,366,451,457,465,565,720,800,928,1088,1232,1292,-1.940278,29.873888
Seychelles,East Africa,-,-,-,2,5,2,5,8,21,18,15,13,20,19,10,10,2,6,8,9,5,6,10,16,16,14,20,16,11,16,-4.679574,55.491977
Somalia,East Africa,-,2,11,102,80,39,220,710,420,91,91,96,87,87,37,55,50,78,37,40,36,26,34,30,15,32,35,50,67,76,5.152149,46.199616
South Sudan,East Africa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,18,28,36,48,76,63,6.876992,31.306978
Sudan,East Africa,-,7,53,180,135,350,680,690,540,440,354,366,378,431,279,290,309,321,224,217,213,236,180,187,186,233,253,324,331,319,12.862807,30.217636
Tanzania,East Africa,-,5,38,305,215,350,480,560,560,704,1091,1528,1814,1822,1471,1332,1239,1196,1192,1217,1098,1006,906,950,889,867,840,811,824,834,-6.369028,34.888822
Uganda,East Africa,-,4,29,223,257,240,430,430,470,559,693,754,805,776,696,632,685,743,769,836,852,820,779,783,762,762,776,779,818,848,1.373333,32.290275
"East Africa, Unspecified",East Africa,-,-,-,-,-,38,68,66,53,-,-,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cameroon,Central Africa,-,1,9,94,125,250,770,970,1240,758,903,870,967,1171,1216,1364,1582,1799,1891,1826,1881,1659,1530,1472,1285,1212,1210,1334,1382,1188,7.369722,12.354722
Central African Republic,Central Africa,-,-,-,-,5,16,9,15,22,22,20,18,12,23,40,32,34,47,47,42,32,29,28,28,11,13,13,15,14,17,6.611111,20.939444
Chad,Central Africa,-,-,-,2,10,2,23,30,15,25,42,51,60,90,95,75,73,120,127,138,96,99,84,89,81,61,52,66,75,65,15.454166,18.732207
"Congo, Republic of the (Brazzaville)",Central Africa,-,-,-,15,30,6,9,6,39,22,12,0,8,3,9,23,86,143,150,208,229,240,249,309,282,288,337,268,298,284,-0.228021,15.827658999999999
"Congo, Dem. Rep. of the (Kinshasa)",Central Africa,-,5,2,94,91,110,210,230,380,370,489,411,422,429,340,323,308,271,282,247,249,252,320,386,571,755,949,1137,1123,1164,-4.038333000000001,21.758664000000003
Equatorial Guinea,Central Africa,-,-,-,1,-,1,3,7,16,16,22,44,35,94,79,104,160,196,98,94,78,119,164,196,253,314,339,360,335,280,1.6508009999999997,10.267895
Gabon,Central Africa,-,-,-,3,3,1,14,42,22,67,74,98,101,125,105,145,161,230,303,262,306,431,402,378,397,388,410,363,332,327,-0.803689,11.609444
São Tomé & Príncipe,Central Africa,-,-,-,-,-,-,-,9,16,11,16,13,7,4,5,8,6,9,4,2,1,2,1,3,3,1,1,2,3,0,0.18636,6.613081
"Central Africa, Unspecified",Central Africa,-,3,-,-,-,14,22,26,16,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Angola,Southern Africa,-,-,1,26,21,10,30,15,34,136,198,348,360,432,442,431,415,442,503,544,615,699,779,812,985,1184,1296,1257,1183,1014,-11.202691999999999,17.873887
Botswana,Southern Africa,-,-,-,3,22,18,79,220,230,417,1053,941,1004,688,488,338,284,227,236,298,212,229,175,216,228,257,246,296,233,214,-22.328474,24.684866
Comoros,Southern Africa,-,-,-,-,-,-,1,1,14,7,22,38,44,31,22,23,29,39,42,23,50,23,9,19,27,32,32,10,12,18,-11.875001,43.872219
Eswatini,Southern Africa,-,-,-,7,25,32,53,109,157,150,71,104,88,84,86,96,98,114,128,156,140,146,154,182,177,165,192,183,188,181,,
Lesotho,Southern Africa,-,-,3,12,13,19,61,79,115,62,63,35,39,38,39,41,52,57,45,61,48,51,46,41,41,56,61,59,55,58,-29.609988,28.233608
Madagascar,Southern Africa,-,-,1,22,7,9,30,44,70,77,114,115,124,119,109,127,112,136,130,123,142,146,133,124,151,122,126,143,132,159,-18.766947000000002,46.869107
Malawi,Southern Africa,-,-,2,83,65,58,75,112,300,239,308,428,475,391,399,375,347,321,297,315,274,269,258,252,275,272,289,317,306,311,-13.254307999999998,34.301525
Mauritius,Southern Africa,-,9,10,9,18,21,40,97,152,222,209,246,251,228,209,188,210,205,218,221,210,247,205,228,221,231,250,283,288,311,-20.348404000000002,57.552152
Mozambique,Southern Africa,-,2,2,19,33,12,11,8,27,78,82,86,106,108,93,106,98,80,78,89,88,76,67,88,91,108,109,120,111,113,-18.665695,35.529562
Namibia,Southern Africa,-,3,14,6,18,7,41,86,152,124,99,117,80,111,95,66,89,61,66,60,76,73,63,65,61,67,76,93,101,105,-22.957639999999998,18.49041
Reunion,Southern Africa,-,-,-,-,-,1,-,-,1,-,3,2,20,4,2,8,11,6,6,8,2,7,1,2,2,1,5,2,6,1,-21.115141,55.536384
South Africa,Southern Africa,118,157,181,390,457,510,1170,1610,2050,1919,1962,2106,2232,2095,1971,1699,1709,1665,1620,1703,1656,1669,1610,1816,1716,1838,1813,1911,2040,2042,-30.559482,22.937506
Zambia,Southern Africa,-,1,9,83,47,80,270,450,380,354,494,613,819,882,859,794,816,876,787,743,641,560,535,496,502,465,473,469,450,445,-13.133897,27.849332
Zimbabwe,Southern Africa,2,14,16,203,193,260,740,510,480,687,1184,1703,2029,2186,1999,1695,1704,1518,1421,1269,1159,1135,1161,1170,1206,1245,1295,1330,1324,1343,-19.015438,29.154857
"Southern Africa, Unspecified",Southern Africa,-,-,-,-,-,24,86,56,46,-,-,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cabo Verde/Cape Verde,West Africa,-,-,-,-,-,1,34,52,107,65,44,59,57,79,52,40,40,76,43,100,42,55,87,81,69,64,102,80,67,52,16.002082,-24.013197
Côte d’Ivoire/Ivory Coast,West Africa,-,-,-,17,30,190,310,300,350,406,563,637,707,675,636,622,656,657,711,806,867,904,955,980,1116,1227,1229,1353,1349,1392,7.539989,-5.54708
Gambia,West Africa,-,-,-,13,44,100,180,190,220,403,263,386,401,464,523,445,403,372,330,328,299,385,383,328,300,275,274,299,261,243,13.443182,-15.310139000000001
Ghana,West Africa,61,84,167,282,539,1350,1810,1370,1030,1156,2127,2469,2672,3032,3288,3114,3160,2961,2895,2988,2951,2900,2769,2863,2914,3099,3049,3111,3213,3661,7.946527000000001,-1.0231940000000002
Guinea,West Africa,-,-,-,99,21,10,16,54,45,105,235,237,220,249,250,225,218,181,167,190,180,139,104,79,80,109,94,94,98,107,9.945587,-9.696645
Guinea-Bissau,West Africa,-,-,-,-,-,2,18,21,11,25,29,16,21,13,16,11,5,19,15,17,15,12,12,10,15,9,18,9,10,16,11.803749,-15.180413
Liberia,West Africa,81,188,170,315,337,700,980,1060,610,388,426,451,471,531,411,343,364,336,298,261,231,172,159,172,161,168,205,221,262,255,6.4280550000000005,-9.429499
Mali,West Africa,-,-,-,8,7,11,62,81,117,187,207,439,311,507,378,345,402,455,435,479,500,481,402,383,315,356,331,310,302,291,17.570692,-3.9961660000000006
Mauritania,West Africa,-,-,-,-,1,1,5,23,43,24,62,73,79,87,68,58,63,64,60,59,52,60,61,71,63,81,97,103,106,84,21.00789,-10.940835
Niger,West Africa,-,-,-,2,7,4,15,38,49,56,73,87,139,177,169,234,359,258,289,249,228,247,279,194,217,199,246,177,288,257,17.607789,8.081666
Nigeria,West Africa,176,268,258,1382,1851,7210,16360,18370,4480,2147,3602,3820,4499,5816,6140,6335,6192,5943,6222,6256,6568,7148,7028,7316,7921,9494,10674,11710,12693,13423,9.081999,8.675277000000001
Saint Helena,West Africa,-,-,-,-,1,-,-,-,-,-,-,1,1,0,1,1,14,0,7,12,2,4,1,1,0,0,3,1,1,8,-24.143473999999998,-10.030696
Senegal,West Africa,-,27,-,-,32,21,61,180,240,451,707,732,809,774,805,725,666,681,658,642,624,600,681,688,633,633,603,569,544,504,14.497401000000002,-14.452361999999999
Sierra Leone,West Africa,42,-,39,149,241,930,740,530,400,296,452,336,320,340,306,308,297,299,230,173,173,183,130,123,146,152,167,209,200,181,8.460555000000001,-11.779889
Togo,West Africa,-,1,1,39,11,13,19,45,99,118,176,330,382,498,413,514,448,366,439,381,310,241,250,218,231,238,209,210,199,189,8.619543,0.824782
"West Africa, Unspecified",West Africa,1,-,4,-,-,48,123,70,83,8,7,16,8,15,6,5,3,0,0,0,0,0,0,0,0,0,0,0,1,0,,
"Asia, Unspecified","Asia, Unspecified",-,-,-,-,-,-,-,-,-,-,-,6,0,0,0,0,0,0,6,81,0,0,0,1,0,0,0,0,0,0,,
China,East Asia,-,-,-,5,19,22,1000,10100,33390,39403,54466,59939,63211,64757,61765,62523,62582,67723,81127,98235,127628,157558,194029,235597,274439,304040,328547,350755,363341,369548,35.86166,104.195397
Hong Kong,East Asia,-,-,-,3279,7202,11060,9900,10130,11230,12935,7545,7627,7757,8076,7353,7180,7849,7722,8286,8329,8034,8136,8032,8026,8104,8012,7923,7547,7162,6917,22.396428,114.10949699999999
Japan,East Asia,265,1673,2248,3534,4311,5930,12260,13160,29840,45276,46872,46497,46810,45960,40835,42215,38712,35282,33974,29264,24842,21290,19966,19568,19334,19064,19060,18780,18753,18105,36.204824,138.252924
Macau,East Asia,-,-,-,20,35,49,48,102,140,385,297,372,371,385,374,383,407,388,421,429,468,497,505,533,552,573,586,605,555,558,22.198745000000002,113.543873
Mongolia,East Asia,-,-,-,-,-,1,-,-,2,45,325,442,574,739,711,769,927,1156,1308,1522,1258,1259,1423,1361,1444,1481,1434,1410,1481,1336,46.862496,103.84665600000001
North Korea,East Asia,-,-,-,-,-,5,11,71,31,114,201,127,113,213,174,219,201,266,65,43,57,16,15,17,19,8,18,8,3,2,40.339852,127.510093
South Korea,East Asia,258,1197,2474,2604,3991,3390,4890,16430,21710,33599,41191,45685,49046,51519,52484,53358,59022,62392,69124,75065,72153,73351,72295,70627,68047,63710,61007,58663,54555,52250,35.907757000000004,127.766922
Taiwan,East Asia,3637,2553,4546,4620,8566,10250,17560,22590,30960,36407,29234,28566,28930,28017,26178,25914,27876,29094,29001,28065,26685,24818,23250,21867,21266,20993,21127,21516,22454,23369,23.69781,120.96051499999999
"East Asia, Unspecified",East Asia,-,-,-,2160,3465,13,41,47,17,26,16,116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Afghanistan,South and Central Asia,48,82,99,159,268,290,270,138,220,111,110,75,92,102,109,155,175,268,338,407,426,429,371,449,450,471,498,506,476,418,33.93911,67.709953
Bangladesh,South and Central Asia,-,-,-,-,-,480,980,2010,2470,3371,3845,4114,3935,3596,3198,2758,2581,2410,2305,2706,2619,2873,3314,3828,4802,5455,6513,7143,7496,8249,23.684994,90.35633100000001
Bhutan,South and Central Asia,-,-,-,1,1,3,6,8,29,21,57,62,78,68,63,70,77,83,96,109,126,115,100,133,127,128,143,148,152,146,27.514162,90.433601
India,South and Central Asia,1359,1673,3780,6814,11329,9660,8760,14620,26240,33537,42337,54664,66836,74603,79736,80466,76503,83833,94563,103260,104897,103895,100270,96754,102673,132888,165918,186267,196271,202014,20.593684,78.96288
Kazakhstan,South and Central Asia,-,-,-,-,-,-,-,-,-,267,542,540,617,556,538,477,626,1212,1456,1714,1936,1890,1938,1969,2012,2017,1935,1792,1865,1879,48.019573,66.923684
Kyrgyzstan,South and Central Asia,-,-,-,-,-,-,-,-,-,36,126,160,230,217,179,185,189,209,264,275,274,279,254,261,244,227,227,216,227,290,41.20438,74.766098
Maldives,South and Central Asia,-,-,-,-,-,-,1,8,3,7,18,13,16,23,15,24,26,26,38,36,39,34,29,33,39,34,37,40,32,25,3.202778,73.22068
Nepal,South and Central Asia,-,4,34,84,109,58,180,320,610,1264,2411,2618,3019,3729,4384,4861,6061,7754,8936,11581,11233,10301,9621,8920,8155,8158,9662,11607,13270,13229,28.394857000000002,84.12400799999999
Pakistan,South and Central Asia,102,255,534,1081,1576,3140,2660,4750,7070,6989,6107,6948,8644,8123,7325,6296,5759,5401,5345,5298,5222,5045,4600,4772,4935,5354,6141,7015,7537,7957,30.375321000000003,69.345116
Sri Lanka,South and Central Asia,13,34,73,96,159,230,490,1480,2210,2097,1968,1964,2069,2094,1964,1992,2157,2373,2591,2976,2957,2965,2902,3046,2917,2882,3080,3263,3309,3334,7.873054,80.77179699999999
Tajikistan,South and Central Asia,-,-,-,-,-,-,-,-,-,17,71,118,143,167,117,158,185,164,364,342,288,249,298,312,270,254,235,204,222,229,38.861034000000004,71.276093
Turkmenistan,South and Central Asia,-,-,-,-,-,-,-,-,-,10,65,65,71,102,98,103,154,143,166,180,195,210,209,178,214,201,216,231,234,280,38.969719,59.556278000000006
Uzbekistan,South and Central Asia,-,-,-,-,-,-,-,-,-,109,493,418,381,386,412,416,472,581,539,688,513,560,486,445,463,491,530,505,570,571,41.377491,64.585262
"South and Central Asia, Unspecified",South and Central Asia,-,-,-,-,-,29,3,-,-,-,-,6,0,1,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,,
Brunei,Southeast Asia,-,-,-,4,5,8,9,36,15,21,26,25,27,17,13,18,12,24,34,39,43,66,69,61,60,73,59,53,53,50,4.535277,114.72766899999999
Cambodia,Southeast Asia,-,2,36,209,17,120,290,270,145,82,152,187,247,329,330,333,364,329,369,353,347,340,333,393,432,492,499,512,659,685,12.565679,104.990963
Indonesia,Southeast Asia,36,153,531,766,683,1080,2440,7190,9390,11872,11300,11625,11614,10432,8880,7760,7575,7338,7692,7509,6943,6942,7131,7670,7920,8188,8727,8776,8650,8356,-0.789275,113.921327
Laos,Southeast Asia,-,2,9,36,58,160,410,460,460,88,131,96,133,108,65,63,65,45,69,80,64,49,43,50,57,63,63,91,104,96,19.856270000000002,102.495496
Malaysia,Southeast Asia,116,196,247,536,663,1580,3660,21720,14110,13617,9074,7795,7395,6595,6483,6142,5515,5281,5428,5942,6190,6735,6743,6791,6822,7231,7834,8247,8271,7709,4.210483999999999,101.97576600000001
Myanmar,Southeast Asia,84,188,227,130,85,51,67,190,340,455,527,673,875,870,691,651,650,625,604,667,695,796,807,955,1042,1067,1194,1351,1569,1773,21.913965,95.956223
Philippines,Southeast Asia,701,1476,1722,2473,2782,2130,2890,3660,4540,3472,3143,3139,3295,3576,3467,3531,3758,3730,4170,4226,3815,3604,3194,3215,3112,3026,2886,3006,3225,3320,12.879721,121.77401699999999
Singapore,Southeast Asia,-,-,-,-,343,390,1010,3750,4440,4473,4250,4166,4141,4189,3955,3769,3909,3705,3976,3989,4051,4316,4505,4558,4592,4727,4865,4677,4575,4632,1.352083,103.819836
Thailand,Southeast Asia,187,586,1006,1630,4372,6250,6500,7220,6630,10889,10983,11187,11606,9982,8937,8637,8765,8886,9004,8736,8531,8236,7626,7314,7341,7217,7113,6893,6636,6503,15.870032,100.992541
Timor-Leste/East Timor,Southeast Asia,-,-,-,-,1,2,4,-,-,-,-,0,4,4,8,16,34,16,37,31,26,48,40,47,47,59,45,44,44,38,-8.874217,125.727539
Vietnam,Southeast Asia,-,101,242,399,993,2060,5050,3220,1850,794,2266,2022,2531,2722,3165,3670,4597,6036,8769,12823,13112,14888,15572,16098,16579,18722,21403,22438,24325,24392,14.058323999999999,108.277199
"Southeast Asia, Unspecified",Southeast Asia,-,-,-,-,-,19,340,-,18,-,-,1,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Albania,EUROPE,3,2,1,-,6,10,3,1,1,133,855,1118,1129,1106,916,866,904,841,689,757,790,697,659,649,636,670,705,781,884,993,41.153332,20.168331
Andorra,EUROPE,-,-,-,-,-,-,-,2,6,9,13,5,8,11,9,11,6,3,9,12,11,14,24,13,9,9,11,16,14,17,42.546245,1.6015540000000001
Armenia,EUROPE,-,-,-,-,-,-,-,-,-,104,342,366,439,390,412,410,408,427,403,401,374,350,363,345,272,304,270,280,313,328,40.069099,45.038189
Austria,EUROPE,145,149,102,162,317,180,250,370,580,887,1041,1062,1079,1060,899,885,843,843,886,909,994,1019,989,1036,1062,1114,1141,1111,1148,1098,47.516231,14.550072
Azerbaijan,EUROPE,-,-,-,-,-,-,-,-,-,80,166,253,277,277,238,252,337,286,318,364,409,440,460,388,383,408,391,386,426,489,40.143105,47.576927000000005
Belarus,EUROPE,-,-,-,-,-,-,-,-,-,88,283,311,411,417,422,431,458,496,457,443,408,347,358,355,306,330,323,319,351,378,53.709807,27.953389
Belgium,EUROPE,136,99,117,231,428,350,540,740,920,900,904,881,884,847,823,743,754,703,812,858,845,904,880,894,948,1001,1094,1087,1080,1073,50.503887,4.469936
Bosnia and Herzegovina,EUROPE,-,-,-,-,-,-,-,-,-,152,447,477,511,528,433,359,369,413,409,409,404,356,341,364,319,296,309,303,290,300,43.915886,17.679076000000002
Bulgaria,EUROPE,16,2,1,11,37,10,12,14,75,1396,2847,3270,3584,3725,3734,3644,3633,3478,3205,2889,2495,1957,1694,1473,1252,1171,1016,929,826,757,42.733883,25.48583
Croatia,EUROPE,-,-,-,-,-,-,-,-,-,478,812,782,802,735,660,675,639,629,602,617,623,583,552,581,529,523,527,537,528,516,45.1,15.2
Cyprus,EUROPE,53,47,63,145,195,210,420,2200,1750,1962,2071,2217,2027,1834,1562,1326,1111,877,782,696,586,470,438,425,419,417,401,388,410,431,35.126413,33.429859
Czech Republic,EUROPE,-,-,-,-,-,-,-,-,-,654,941,1112,1152,1180,1052,902,927,914,922,925,828,765,701,776,736,796,749,772,763,820,49.817492,15.472961999999999
"Czechoslovakia, Former",EUROPE,185,8,7,21,357,90,44,59,87,55,38,39,11,0,7,81,36,-,-,-,-,-,-,-,-,-,-,-,-,-,,
Denmark,EUROPE,128,150,121,174,281,220,400,450,820,1022,1066,1007,922,901,859,887,900,963,898,999,989,1149,1233,1359,1470,1602,1486,1490,1423,1423,56.26392,9.501785
Estonia,EUROPE,35,12,2,6,9,-,-,-,-,226,249,287,293,298,271,283,321,240,245,270,220,228,241,218,212,288,191,179,186,184,58.595271999999994,25.013607
Finland,EUROPE,112,130,118,185,275,260,410,550,740,924,905,893,819,739,619,570,608,566,672,753,663,639,640,691,656,669,714,737,768,716,61.92411,25.748151
France,EUROPE,506,472,572,833,1977,1610,2250,3390,5340,5843,6877,7273,7401,7223,6818,6555,6640,6704,7050,7421,7716,8098,8232,8297,8302,8743,8764,8814,8802,8716,46.227638,2.213749
Georgia,EUROPE,-,-,-,-,-,-,-,-,-,142,347,329,345,377,373,340,343,353,378,407,448,460,481,456,496,541,543,558,597,574,42.315407,43.356891999999995
Germany,EUROPE,671,762,720,1504,2634,1610,3000,4190,6750,8592,9800,10128,9613,9302,8745,8640,8829,8656,8907,9679,9548,9458,9347,9819,10160,10193,10145,10169,10042,9191,51.165690999999995,10.451526
Gibraltar,EUROPE,-,-,-,-,3,2,1,2,-,-,-,4,1,3,0,9,6,8,15,6,18,2,4,4,2,6,4,15,6,16,36.137741,-5.345374
Greece,EUROPE,461,881,1095,1543,1811,1880,3000,4870,4430,3699,2782,2768,2599,2341,2126,2035,2088,1986,1981,1896,1837,1874,1922,2046,2170,2147,2199,2318,2395,2523,39.074208,21.824312
Hungary,EUROPE,139,11,53,82,145,47,42,90,440,885,1166,1174,1242,1200,997,934,831,735,710,680,664,670,655,690,667,720,773,730,716,793,47.162494,19.503304
Iceland,EUROPE,53,49,55,53,73,100,240,550,820,568,538,558,891,537,488,434,438,422,402,382,407,369,391,384,390,396,382,402,412,407,64.96305100000001,-19.020835
Ireland,EUROPE,56,59,109,238,516,370,490,910,1380,909,1166,1086,1053,1055,1020,976,1100,1081,1018,1059,1212,1167,1106,1158,1156,1192,1183,1217,1141,1180,53.41291,-8.243889999999999
Italy,EUROPE,259,312,443,646,1174,720,1100,1750,2370,2704,3286,3490,3333,3287,3308,3261,3224,3342,3535,3945,4072,4308,4284,4276,4443,4863,5155,5593,5789,6114,41.87194,12.56738
Kosovo,EUROPE,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,35,70,56,50,75,88,121,114,106,112,170,268,244,229,159,42.602636,20.902977
Latvia,EUROPE,44,9,3,19,27,-,-,-,-,194,309,383,434,447,424,408,382,430,363,320,286,324,308,295,266,276,281,244,236,244,56.879635,24.603189
Liechtenstein,EUROPE,-,2,2,-,2,-,2,1,3,16,11,13,12,9,6,9,14,6,13,8,8,5,14,7,8,8,8,8,9,8,47.166000000000004,9.555373
Lithuania,EUROPE,46,-,4,7,19,-,-,-,-,193,405,493,628,647,691,635,653,536,495,420,361,338,288,284,287,293,315,333,327,318,55.169438,23.881275
Luxembourg,EUROPE,3,11,8,7,11,15,33,30,41,65,69,73,61,73,50,39,51,56,49,87,56,59,68,87,95,97,86,118,102,101,49.815273,6.129583
Macedonia,EUROPE,-,-,-,-,-,-,-,-,-,-,258,281,337,305,349,381,362,345,311,329,278,257,222,237,237,237,236,245,224,227,41.608635,21.745275
